"Timestamp","Would you recommend mybinder.org to a friend?","If you could change one thing about Binder, what would it be?","What do you (mainly) use mybinder.org for?"
"2020/01/29 3:02:25 pm CET","Yes","Reliability.","Demos and talks"
"2020/01/29 3:40:37 pm CET","Yes","save = open PR on github","Workshops/training courses"
"2020/01/29 3:52:38 pm CET","Yes","Automated save (or a possibility to recover  unsaved work after the connection is lost)","Workshops/training courses"
"2020/01/29 3:55:12 pm CET","Yes","More transparent usage limits (e.g. colab style CPU/MEM/disk usage)","Reproducible publishing"
"2020/01/29 3:55:37 pm CET","Yes","Start-up time (but realistically very hard to do much about that!)","Workshops/training courses"
"2020/01/29 3:57:09 pm CET","Yes","Na","Reproducible publishing"
"2020/01/29 3:58:31 pm CET","Yes","Customizable cpu/memory/gpu ","Workshops/training courses"
"2020/01/29 3:58:34 pm CET","Yes","More reliable launches, we've sometimes seen workshop participants time out while others succeed with no clear indication as to why","Workshops/training courses"
"2020/01/29 4:00:41 pm CET","Yes","I'd like to be reasoably sure that if I ask a class of up to 100 students to launch a particular binder session I can be reasonably sure that they will start up. I prefer binder over Colab (particularly becuase you can bundle in files in a binder sessions) but this is a problem for me. ","University teaching"
"2020/01/29 4:02:13 pm CET","Yes","","Reproducible publishing"
"2020/01/29 4:03:43 pm CET","Yes","Clearer sense of how it works ","Workshops/training courses"
"2020/01/29 4:09:45 pm CET","Yes","Perhaps a gallery of most-used public repos (if possible). I really like using mybinder to demo new concepts of how Jupyter could be used.","Demos and talks"
"2020/01/29 4:09:52 pm CET","Yes","If it was possible to have the pre-built images launch faster, that would be awesome. Sometimes I wait 5-15 minutes for a binder instance to launch and then when I come to the binder instance, it has already expired. It's one barrier I have convincing my R friends to try binder instead of shiny-apps.","Workshops/training courses"
"2020/01/29 4:13:42 pm CET","Yes","Being able to save the modifications made in a Jupyter notebook (maybe through a PR or something like that?)","Sharing and collaborating with a team"
"2020/01/29 4:14:24 pm CET","Yes","","Reproducible publishing"
"2020/01/29 4:25:57 pm CET","Yes","The repo useful loads to slow (due to the number dependencies?)","University teaching"
"2020/01/29 4:43:02 pm CET","Yes","Better support for classroom use when 30-60 might be using a Notebook for 1 hour.","Workshops/training courses"
"2020/01/29 4:48:33 pm CET","Yes","Better ability to test and debug builds in the binder interface","Reproducible publishing"
"2020/01/29 4:54:09 pm CET","Maybe","load times","University teaching"
"2020/01/29 4:58:52 pm CET","Yes","","Reproducible publishing"
"2020/01/29 5:04:22 pm CET","Yes","Reduce the time needed to load Binder (image building, container launching)","University teaching"
"2020/01/29 5:06:56 pm CET","Yes","Embeddable in blogs for showing interactive content","Demos and talks"
"2020/01/29 5:26:08 pm CET","Yes","I like the zeppelin feature for placing cells besides each other in the same row","Documentation and examples"
"2020/01/29 5:37:06 pm CET","Yes","","Documentation and examples"
"2020/01/29 5:42:06 pm CET","Yes","Make it start up faster.","Learning ML and Data Science"
"2020/01/29 5:52:39 pm CET","Yes","","Documentation and examples"
"2020/01/29 6:01:08 pm CET","Yes","Making configuration with rstudio easier.","Workshops/training courses"
"2020/01/29 6:18:43 pm CET","Yes","Make it possible that selected instances require login for controlling access. ","University teaching"
"2020/01/29 6:22:23 pm CET","Maybe","","Workshops/training courses"
"2020/01/29 6:27:10 pm CET","Yes","Translate in most popular languages?","Workshops/training courses"
"2020/01/29 6:33:30 pm CET","Yes","","Demos and talks"
"2020/01/29 6:46:12 pm CET","Yes","Connection and participation to an already active container  ","University teaching"
"2020/01/29 6:51:17 pm CET","Yes","Reproducibility: some way to ensure that if a repo works now, it can be frozen so that it will work in the future.","Documentation and examples"
"2020/01/29 7:00:17 pm CET","Yes","1. Timeout messages to let the person know that the session is about to end. Like an online bank session. 2. Categorization of projects in the main binder site for people interested on specific research ideas presented via Binder projects. 3. binder Kernel as a service to use in Jupyter Book or any notebook server.","Cyber security research sharing with the community"
"2020/01/29 7:01:26 pm CET","Yes","Easier to open RStudio session, maybe also faster launch (if possible).","Workshops/training courses"
"2020/01/29 7:36:14 pm CET","Yes","Speed to loading already built Docker containers.","University teaching"
"2020/01/29 7:45:32 pm CET","Yes","","Demos and talks"
"2020/01/29 8:29:54 pm CET","Yes","Make it easier to find repos where dependencies I need are already incorporated (and moonshot idea actually builds successfully). I imagine a companion site the starts out with all repos and dependencies seen and as you type in a filter bar, it populates with only those that match.","all of the above in some way and primarily for getting stuff done in my university research"
"2020/01/29 8:48:34 pm CET","Maybe","Want to use online jupyter","Workshops/training courses"
